scenario_id,period,dgp_seed,method,test_mean,test_sd,valid_mean,n,training_rows,positives,selected_endpoint,label,region_shift,drift_per_month,region_drift_per_month,trigger_rate,holdout_pct,base_rate,policy_noise,amount_weight,ceiling,pct_of_ceiling,method_label,rank,regret_vs_best_deployable
reference_drift,early,0,R2_unflagged_only,0.7212633206487447,0.008057877344365276,0.713347301400854,5,728376.0,23496.0,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,0.9992684219846812,no holdout,1.0,0.0
reference_drift,early,0,R3_drop_unweighted,0.7203105431450112,0.008569803268569763,0.7147872818438737,5,731252.8,23588.8,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,0.9979484041140901,dropping,4.0,-0.0009527775037334596
reference_drift,early,0,R4_ipw_pure,0.720934623608807,0.008117228201487185,0.7111138763970686,5,731252.8,23588.8,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,0.9988130313346838,IPW,2.0,-0.0003286970399376532
reference_drift,early,0,R5_asymmetric,0.7204813399963167,0.008741879261269818,0.7141444228522598,5,731252.8,23588.8,mixed,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,0.9981850332274775,Asymmetric IPW,3.0,-0.0007819806524279604
reference_drift,early,0,R6_no_retrain,0.7199158903689099,0.008802088621569278,0.7165020205665675,5,786656.0,25376.0,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,0.9974016356239749,no retraining,6.0,-0.0013474302798347493
reference_drift,early,0,R7_incremental,0.7201917565234454,0.009157448267124396,0.7162809084317412,5,74592.2,2406.2,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7217913673447409,0.9977838321519693,incremental,5.0,-0.0010715641252992958
reference_drift,late,0,R0_benchmark,0.7094414722792018,0.00458520082728187,0.7152265191256961,5,780387.8,25173.8,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7094414722792018,1.0,uncensored benchmark,,
reference_drift,late,0,R1_holdout_only,0.6714320770690817,0.0028571547120667443,0.670586714000988,5,38254.0,1234.0,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7094414722792018,0.9464234941213565,holdout only,4.0,-0.011885012463270561
reference_drift,late,0,R2_unflagged_only,0.6401291098727899,0.003770860853531622,0.6500449692598856,5,443095.4,14293.4,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7094414722792018,0.9023000978731422,no holdout,6.0,-0.04318797965956234
reference_drift,late,0,R3_drop_unweighted,0.6749240137264529,0.0030998297471709823,0.6842935560383657,5,459469.6,14821.6,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7094414722792018,0.9513455867728515,dropping,3.0,-0.00839307580589932
reference_drift,late,0,R4_ipw_pure,0.6833170895323523,0.005525999801462673,0.6923256831188406,5,459469.6,14821.6,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7094414722792018,0.9631761269003339,IPW,1.0,0.0
reference_drift,late,0,R5_asymmetric,0.6833170895323523,0.005525999801462673,0.6923256831188406,5,459469.6,14821.6,R4_ipw_pure,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7094414722792018,0.9631761269003339,Asymmetric IPW,1.0,0.0
reference_drift,late,0,R6_no_retrain,0.6391364203968453,0.005835648948832343,0.6527019275512909,5,782979.4,25257.4,,Reference + regional drift,1.5,0.02,0.02,0.06,0.05,0.01,1.8,0.7,0.7094414722792018,0.9009008429455222,no retraining,7.0,-0.044180669135507
